level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,T1_only,era_composition,confirmed,unit_level
layer,min_committee,would/aspectual,vix,0.475,0.0,0.422,0.0,0.271,0.027,0.098,116,0.212,False,False,True,U3
layer,min_committee,would/causative,cfnai,-0.037,0.715,0.069,0.5177,0.007,-0.006,0.146,48,0.717,False,False,False,U3
layer,min_committee,would/causative,vix,-0.229,0.0226,-0.385,0.0002,-0.169,-0.394,0.12,48,0.717,False,False,False,U3
layer,min_committee,would/copular_adj,cfnai,0.287,0.004,0.198,0.0594,0.288,0.376,0.456,126,0.232,True,False,False,U3
layer,min_committee,would/copular_adj,vix,0.487,0.0,0.54,0.0,0.422,0.123,0.4,126,0.232,False,False,True,U3
layer,min_committee,would/existence,cfnai,0.425,0.0,0.401,0.0001,0.38,0.6,0.336,52,0.586,False,False,True,U3
layer,min_committee,would/existence,vix,-0.264,0.0083,-0.355,0.0006,-0.22,-0.287,0.135,52,0.586,True,True,False,U3
layer,min_committee,would/mental,cfnai,-0.479,0.0,-0.398,0.0001,-0.407,-0.285,-0.42,71,0.414,False,False,True,U3
layer,min_committee,would/mental,vix,-0.091,0.3715,-0.151,0.1517,-0.101,-0.183,-0.206,71,0.414,False,False,False,U3
layer,min_committee,would/occurrence,cfnai,0.076,0.4557,0.074,0.4882,0.075,0.052,0.048,89,0.556,False,False,False,U3
layer,min_committee,would/occurrence,vix,-0.357,0.0003,-0.303,0.0035,-0.31,0.132,-0.091,89,0.556,True,True,False,U3
layer,min_committee,would/other,cfnai,0.315,0.0015,0.278,0.0076,0.229,0.053,0.496,26,0.798,False,False,False,U3
layer,min_committee,would/other,vix,0.092,0.3655,0.024,0.8179,0.171,0.074,0.044,26,0.798,False,False,False,U3
layer,min_committee,would/policy_action,cfnai,0.029,0.7787,0.034,0.7513,0.036,0.224,-0.319,56,0.626,False,False,False,U3
layer,min_committee,would/policy_action,vix,-0.423,0.0,-0.434,0.0,-0.406,-0.319,-0.065,56,0.626,False,False,False,U3
layer,min_participants,could/activity,cfnai,-0.31,0.0018,-0.286,0.006,-0.245,-0.047,-0.392,114,0.354,False,False,True,U3
layer,min_participants,could/activity,vix,0.021,0.834,0.028,0.7947,-0.018,-0.002,-0.32,114,0.354,False,False,False,U3
layer,min_participants,could/causative,cfnai,0.13,0.1993,0.062,0.5606,0.143,0.064,0.023,248,0.131,False,False,False,U3
layer,min_participants,could/causative,vix,0.093,0.3587,0.057,0.5929,0.046,0.004,0.169,248,0.131,False,False,False,U3
layer,min_participants,could/copular_adj,cfnai,-0.146,0.1505,-0.176,0.0953,-0.122,-0.324,-0.032,52,0.596,False,False,False,U3
layer,min_participants,could/copular_adj,vix,0.064,0.527,0.065,0.5424,0.073,0.019,0.246,52,0.596,False,False,False,U3
layer,min_participants,could/existence,cfnai,0.12,0.2377,0.163,0.1231,0.045,0.021,0.313,38,0.677,False,False,False,U3
layer,min_participants,could/existence,vix,-0.001,0.9958,0.049,0.6461,0.005,0.02,0.105,38,0.677,False,False,False,U3
layer,min_participants,could/occurrence,cfnai,-0.029,0.7722,-0.084,0.427,-0.053,-0.133,0.017,132,0.202,False,False,False,U3
layer,min_participants,could/occurrence,vix,0.119,0.2393,0.11,0.2977,0.105,0.014,-0.148,132,0.202,False,False,False,U3
layer,min_participants,could/other,cfnai,-0.185,0.0675,-0.122,0.2506,-0.242,-0.174,-0.064,148,0.253,False,False,False,U3
layer,min_participants,could/other,vix,0.011,0.911,0.004,0.971,-0.019,0.189,-0.244,148,0.253,False,False,False,U3
layer,min_participants,could/policy_action,cfnai,-0.09,0.3757,-0.142,0.1803,-0.103,0.141,-0.323,55,0.596,False,False,False,U3
layer,min_participants,could/policy_action,vix,0.254,0.011,0.181,0.0855,0.164,0.087,-0.063,55,0.596,True,False,False,U3
layer,min_participants,may/copular_adj,cfnai,-0.213,0.0341,-0.222,0.0347,-0.13,-0.057,-0.295,42,0.727,False,False,False,U3
layer,min_participants,may/copular_adj,vix,-0.042,0.678,-0.066,0.537,-0.076,0.043,-0.535,42,0.727,False,False,False,U3
layer,min_participants,would/activity,cfnai,-0.083,0.4136,-0.016,0.8818,-0.065,-0.182,0.144,158,0.303,False,False,False,U3
layer,min_participants,would/activity,vix,0.468,0.0,0.489,0.0,0.278,0.312,0.397,158,0.303,False,False,True,U3
layer,min_participants,would/aspectual,cfnai,0.082,0.4183,0.026,0.8035,0.119,-0.024,0.092,120,0.333,False,False,False,U3
layer,min_participants,would/aspectual,vix,-0.031,0.7621,-0.171,0.1045,-0.033,-0.243,-0.221,120,0.333,False,False,False,U3
layer,min_participants,would/causative,cfnai,0.089,0.3812,0.177,0.0934,0.089,0.132,0.173,155,0.232,False,False,False,U3
layer,min_participants,would/causative,vix,0.1,0.324,0.118,0.2662,0.068,-0.117,0.227,155,0.232,False,False,False,U3
layer,min_participants,would/copular_adj,cfnai,-0.028,0.7808,0.078,0.4646,-0.065,0.147,-0.001,321,0.071,False,False,False,U3
layer,min_participants,would/copular_adj,vix,0.22,0.0288,0.163,0.1218,0.129,0.045,0.27,321,0.071,True,False,False,U3
layer,min_participants,would/copular_nom,cfnai,0.009,0.9333,0.028,0.7893,0.025,-0.002,0.07,31,0.737,False,False,False,U3
layer,min_participants,would/copular_nom,vix,0.049,0.6333,-0.01,0.9286,-0.004,0.059,-0.125,31,0.737,False,False,False,U3
layer,min_participants,would/existence,cfnai,0.344,0.0005,0.342,0.0009,0.268,0.376,0.352,93,0.455,False,False,True,U3
layer,min_participants,would/existence,vix,0.145,0.152,0.045,0.6714,0.104,-0.069,0.122,93,0.455,False,False,False,U3
layer,min_participants,would/mental,cfnai,-0.044,0.6647,-0.049,0.6429,-0.114,-0.109,-0.028,75,0.404,False,False,False,U3
layer,min_participants,would/mental,vix,-0.074,0.4653,-0.085,0.4232,-0.057,0.007,0.057,75,0.404,False,False,False,U3
layer,min_participants,would/occurrence,cfnai,-0.074,0.4644,-0.119,0.2593,0.004,-0.063,-0.231,187,0.202,False,False,False,U3
layer,min_participants,would/occurrence,vix,-0.01,0.9254,0.072,0.4952,0.054,0.273,0.117,187,0.202,False,False,False,U3
layer,min_participants,would/other,cfnai,-0.066,0.5164,0.009,0.9334,-0.109,-0.018,0.035,213,0.091,False,False,False,U3
layer,min_participants,would/other,vix,0.156,0.1231,0.107,0.3145,0.16,-0.025,0.098,213,0.091,False,False,False,U3
layer,min_participants,would/policy_action,cfnai,-0.082,0.4189,-0.044,0.6766,-0.095,0.09,-0.199,152,0.273,False,False,False,U3
