level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
layer,min_participants,would,H1,vix,700,0.0,48,-0.0661,0.6554,-0.0442,0.7656,0.8358,True,modal
layer,min_participants,would,H2,cfnai,646,0.0,43,0.1215,0.4378,0.036,0.8185,0.8185,True,modal
layer,min_participants,would,H2,vix,646,0.0,43,0.2432,0.1161,0.2821,0.0668,0.2149,True,modal
layer,min_special,ALL,T1,cfnai,783,0.0,40,0.0972,0.5508,0.1964,0.2246,0.6125,True,modal
layer,min_special,ALL,T1,vix,783,0.0,40,-0.0946,0.5614,-0.1612,0.3205,0.418,True,modal
layer,min_special,ALL,T2,cfnai,675,0.0,36,0.1272,0.4599,0.2103,0.2182,0.4567,True,modal
layer,min_special,ALL,T2,vix,675,0.0,36,-0.0877,0.6111,-0.139,0.4188,0.6215,True,modal
layer,min_special,ALL,T3,cfnai,863,0.02,49,0.0862,0.556,0.2731,0.0576,0.3458,True,modal
layer,min_special,ALL,T3,vix,863,0.02,49,0.0543,0.711,-0.0327,0.8237,0.8826,True,modal
layer,min_special,could,T1,cfnai,283,0.2,40,-0.1277,0.4323,0.0533,0.7439,0.9581,True,modal
layer,min_special,could,T1,vix,283,0.2,40,0.223,0.1666,0.2931,0.0664,0.1424,True,modal
layer,min_special,could,T2,cfnai,231,0.222,36,0.1102,0.5224,0.2041,0.2325,0.4567,True,modal
layer,min_special,could,T2,vix,231,0.222,36,0.226,0.185,0.2778,0.1009,0.2162,True,modal
layer,min_special,could,T3,cfnai,312,0.204,49,-0.1182,0.4186,0.1381,0.3441,0.7941,True,modal
layer,min_special,could,T3,vix,312,0.204,49,0.2834,0.0485,0.315,0.0275,0.0687,True,modal
layer,min_special,should,T1,cfnai,58,0.325,40,0.1709,0.2917,0.2804,0.0797,0.5002,True,modal
layer,min_special,should,T1,vix,58,0.325,40,0.1332,0.4124,0.3247,0.0409,0.1023,True,modal
layer,min_special,should,T2,cfnai,49,0.333,36,0.1406,0.4135,0.2594,0.1266,0.3454,True,modal
layer,min_special,should,T2,vix,49,0.333,36,0.2434,0.1525,0.4434,0.0068,0.0254,True,modal
layer,min_special,should,T3,cfnai,65,0.347,49,0.1614,0.2678,0.3178,0.0261,0.3458,True,modal
layer,min_special,should,T3,vix,65,0.347,49,0.1083,0.4587,0.3367,0.018,0.0491,True,modal
layer,min_special,will,T1,cfnai,49,0.625,40,0.083,0.6104,0.1137,0.4847,0.9581,False,modal
layer,min_special,will,T1,vix,49,0.625,40,-0.2752,0.0856,-0.0606,0.7102,0.7891,False,modal
layer,min_special,will,T2,cfnai,46,0.667,36,0.0789,0.6473,0.1082,0.5301,0.7951,False,modal
layer,min_special,will,T2,vix,46,0.667,36,-0.2845,0.0927,-0.0966,0.575,0.69,False,modal
layer,min_special,will,T3,cfnai,49,0.694,49,0.0693,0.636,0.1038,0.478,0.847,False,modal
layer,min_special,will,T3,vix,49,0.694,49,-0.2361,0.1024,-0.0339,0.8172,0.8826,False,modal
layer,min_special,would,T1,cfnai,344,0.0,40,0.1301,0.4237,0.0485,0.7663,0.9581,True,modal
layer,min_special,would,T1,vix,344,0.0,40,-0.1362,0.4022,-0.1043,0.5218,0.6511,True,modal
layer,min_special,would,T2,cfnai,310,0.0,36,-0.0455,0.7922,-0.0806,0.6404,0.8785,True,modal
layer,min_special,would,T2,vix,310,0.0,36,-0.1486,0.3872,-0.1236,0.4728,0.6237,True,modal
layer,min_special,would,T3,cfnai,383,0.041,49,0.1045,0.4748,0.0113,0.9384,0.9832,True,modal
