doc_id,doc_type,date,chair,word_count,compound,pos,neu,neg,n_sent,share_pos,share_neg
speech_bernanke_20131108a,Chair Speech,2013-11-08,Bernanke,2526,-0.06386039603960396,0.0795940594059406,0.8263267326732672,0.09413861386138615,101,0.297029702970297,0.38613861386138615
speech_bernanke_20131113a,Chair Speech,2013-11-13,Bernanke,1230,0.29992142857142856,0.12159523809523808,0.8551904761904764,0.02319047619047619,42,0.5714285714285714,0.09523809523809523
speech_bernanke_20131114a,Chair Speech,2013-11-14,Bernanke,570,0.4640173913043477,0.20995652173913046,0.7640000000000001,0.02608695652173913,23,0.8260869565217391,0.08695652173913043
speech_bernanke_20131119a,Chair Speech,2013-11-19,Bernanke,6346,0.15412089552238806,0.0720634328358209,0.8984962686567164,0.029451492537313433,268,0.40671641791044777,0.13059701492537312
speech_bernanke_20131216a,Chair Speech,2013-12-16,Bernanke,1309,0.03680000000000001,0.08974468085106382,0.8436170212765955,0.06661702127659574,47,0.3829787234042553,0.3617021276595745
speech_bernanke_20131216b,Chair Speech,2013-12-16,Bernanke,795,0.32047692307692305,0.1491923076923077,0.7949230769230768,0.05576923076923078,26,0.6923076923076923,0.15384615384615385
speech_bernanke_20140103a,Chair Speech,2014-01-03,Bernanke,7365,0.10780729483282674,0.0808449848024316,0.8752826747720364,0.043851063829787235,329,0.4012158054711246,0.19148936170212766
speech_powell_20180213a,Chair Speech,2018-02-13,Powell,756,0.3184974358974359,0.1513076923076923,0.8116923076923076,0.037,39,0.6410256410256411,0.10256410256410256
speech_powell_20180406a,Chair Speech,2018-04-06,Powell,4134,0.1468068062827225,0.0913089005235602,0.8593979057591622,0.04929319371727748,191,0.4816753926701571,0.20418848167539266
speech_powell_20180508a,Chair Speech,2018-05-08,Powell,2385,0.04426535947712418,0.044,0.9239215686274509,0.03207843137254902,153,0.22875816993464052,0.1503267973856209
speech_powell_20180525a,Chair Speech,2018-05-25,Powell,2031,0.11775438596491229,0.08182456140350877,0.8759298245614036,0.042236842105263156,114,0.40350877192982454,0.17543859649122806
speech_powell_20180620a,Chair Speech,2018-06-20,Powell,1989,0.0743929292929293,0.10120202020202021,0.8283636363636364,0.07041414141414142,99,0.46464646464646464,0.2727272727272727
speech_powell_20180824a,Chair Speech,2018-08-24,Powell,5090,0.05966689189189189,0.06625,0.8912331081081082,0.04250337837837838,296,0.2972972972972973,0.19594594594594594
speech_powell_20180927a,Chair Speech,2018-09-27,Powell,522,0.4724655172413793,0.2919655172413793,0.6633103448275862,0.0446896551724138,29,0.8275862068965517,0.10344827586206896
speech_powell_20181002a,Chair Speech,2018-10-02,Powell,4617,-0.02132809917355372,0.06094214876033058,0.8664173553719008,0.07263636363636364,242,0.2768595041322314,0.3140495867768595
speech_powell_20181128a,Chair Speech,2018-11-28,Powell,4222,-0.02813084577114428,0.07726368159203979,0.8344825870646766,0.08828358208955224,201,0.31343283582089554,0.38308457711442784
speech_powell_20181203a,Chair Speech,2018-12-03,Powell,1042,0.34689622641509443,0.1730943396226415,0.7908113207547169,0.036075471698113204,53,0.660377358490566,0.11320754716981132
speech_powell_20181206a,Chair Speech,2018-12-06,Powell,1389,0.2664533333333333,0.12496666666666666,0.8366000000000001,0.03841666666666667,60,0.6166666666666667,0.15
speech_powell_20190206a,Chair Speech,2019-02-06,Powell,937,0.46159090909090905,0.17972727272727274,0.8119999999999998,0.008272727272727272,44,0.7727272727272727,0.0
speech_powell_20190212a,Chair Speech,2019-02-12,Powell,3149,0.17763684210526318,0.09817543859649124,0.8743274853801171,0.02749122807017544,171,0.40350877192982454,0.14035087719298245
speech_powell_20190228b,Chair Speech,2019-02-28,Powell,2980,0.17601156462585033,0.09798639455782313,0.8590476190476191,0.04295238095238095,147,0.47619047619047616,0.19047619047619047
speech_powell_20190308a,Chair Speech,2019-03-08,Powell,4487,0.12012775510204082,0.0740326530612245,0.8835469387755102,0.03425714285714286,245,0.37551020408163266,0.1673469387755102
speech_powell_20190311a,Chair Speech,2019-03-11,Powell,642,0.3843818181818182,0.16822727272727275,0.782,0.04981818181818181,22,0.7727272727272727,0.18181818181818182
speech_powell_20190509a,Chair Speech,2019-05-09,Powell,820,0.30018888888888884,0.10469444444444445,0.8871111111111111,0.008194444444444443,36,0.6388888888888888,0.027777777777777776
speech_powell_20190520a,Chair Speech,2019-05-20,Powell,3423,-0.04861368421052632,0.07298421052631579,0.8398736842105264,0.08713684210526317,190,0.29473684210526313,0.3736842105263158
