inflation,employment,tightening,accommodation,lm_neg,lm_pos,sw_hawk_minus_dove,sw_hawk_score,sw_dove_score,n_tokens,doc_id,doc_type,date
16.85,7.489,5.741,4.618,12.356,9.611,11.857,28.769,16.913,8012,minutes_20180502,minutes,2018-05-02
16.158,7.383,6.547,5.433,12.119,8.776,11.561,28.765,17.204,7179,minutes_20180613,minutes,2018-06-13
12.503,6.853,4.689,6.372,15.268,9.497,6.852,24.826,17.974,8318,minutes_20180801,minutes,2018-08-01
13.827,6.704,6.564,4.888,13.547,10.196,10.474,27.164,16.69,7160,minutes_20180926,minutes,2018-09-26
11.442,6.504,6.383,3.734,15.777,10.96,9.995,25.713,15.718,8303,minutes_20181108,minutes,2018-11-08
13.149,5.567,6.752,4.62,17.768,8.173,14.511,28.785,14.274,8442,minutes_20181219,minutes,2018-12-19
9.21,4.109,3.542,3.755,14.028,7.581,8.112,19.766,11.655,14115,minutes_20190130,minutes,2019-01-30
12.787,6.757,4.054,5.822,17.777,9.356,8.473,25.73,17.257,9619,minutes_20190320,minutes,2019-03-20
12.67,5.643,4.152,6.069,15.865,10.115,7.985,24.755,16.77,9392,minutes_20190501,minutes,2019-05-01
16.15,5.906,3.977,6.147,18.802,8.316,13.317,29.528,16.211,8297,minutes_20190619,minutes,2019-06-19
15.84,5.311,4.007,7.734,16.493,10.157,9.97,28.093,18.123,10732,minutes_20190731,minutes,2019-07-31
16.573,5.899,4.12,8.24,21.91,8.521,13.249,31.648,18.399,10680,minutes_20190918,minutes,2019-09-18
8.586,4.054,3.18,6.598,19.318,7.791,6.877,21.425,14.548,12579,minutes_20191030,minutes,2019-10-30
14.066,8.392,4.492,4.846,18.44,9.456,9.812,27.778,17.966,8460,minutes_20191211,minutes,2019-12-11
11.167,4.283,3.518,4.207,13.615,10.632,7.686,21.492,13.806,13074,minutes_20200129,minutes,2020-01-29
8.428,3.913,4.816,8.327,27.992,7.425,11.288,27.24,15.953,9967,minutes_20200315,minutes,2020-03-15
9.274,4.264,3.518,6.289,30.167,8.208,13.218,27.875,14.657,9381,minutes_20200429,minutes,2020-04-29
10.207,5.946,2.874,7.036,20.513,10.802,4.955,23.338,18.383,10091,minutes_20200610,minutes,2020-06-10
9.978,5.322,4.213,5.765,19.401,10.976,7.317,23.892,16.575,9020,minutes_20200729,minutes,2020-07-29
11.067,6.181,3.789,5.683,16.052,14.855,3.59,22.882,19.291,10030,minutes_20200916,minutes,2020-09-16
9.527,5.504,4.869,8.68,19.477,10.48,4.71,24.134,19.424,9447,minutes_20201105,minutes,2020-11-05
11.662,8.26,4.616,7.532,17.493,12.998,2.733,25.024,22.291,8232,minutes_20201216,minutes,2020-12-16
10.66,5.967,3.66,5.489,14.797,11.854,4.335,21.718,17.383,12570,minutes_20210127,minutes,2021-01-27
12.289,8.04,5.513,6.776,14.816,13.897,3.446,25.21,21.764,8707,minutes_20210317,minutes,2021-03-17
12.371,6.186,3.895,7.102,17.068,13.631,4.697,24.8,20.104,8730,minutes_20210428,minutes,2021-04-28
15.43,5.773,4.723,6.508,13.331,13.016,8.03,26.819,18.789,9527,minutes_20210616,minutes,2021-06-16
13.609,7.899,6.091,5.71,16.844,14.18,7.423,28.122,20.699,10508,minutes_20210728,minutes,2021-07-28
15.484,9.336,5.693,5.01,20.153,12.183,10.816,31.253,20.438,8783,minutes_20210922,minutes,2021-09-22
14.592,7.115,7.477,6.03,18.331,12.18,12.0,31.235,19.235,8292,minutes_20211103,minutes,2021-11-03
12.589,8.855,5.975,6.935,14.937,11.843,4.321,26.032,21.712,9373,minutes_20211215,minutes,2021-12-15
9.452,5.805,5.879,4.986,12.577,9.675,5.991,21.619,15.629,13437,minutes_20220126,minutes,2022-01-26
17.689,4.655,9.659,2.677,16.06,7.099,24.496,35.378,10.882,8593,minutes_20220316,minutes,2022-03-16
15.237,4.866,11.908,3.969,18.438,8.323,23.367,36.364,12.996,7810,minutes_20220504,minutes,2022-05-04
18.849,5.906,10.43,3.016,21.488,7.414,27.394,40.023,12.629,7958,minutes_20220615,minutes,2022-06-15
21.339,6.097,10.083,3.283,23.684,9.145,29.311,43.264,13.953,8529,minutes_20220727,minutes,2022-07-27
18.696,6.787,11.397,2.561,22.922,8.452,27.98,41.554,13.574,7809,minutes_20220921,minutes,2022-09-21
