key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,would,T1,vix,-9,99,0.0353,0.7287,-0.0068,0.9468
minutes,would,T1,vix,-8,99,0.0923,0.3636,0.0632,0.5341
minutes,would,T1,vix,-7,99,-0.0029,0.9769,-0.0248,0.8073
minutes,would,T1,vix,-6,99,0.0035,0.9725,-0.0327,0.7483
minutes,would,T1,vix,-5,99,-0.0464,0.6481,-0.1205,0.2348
minutes,would,T1,vix,-4,99,0.0615,0.5456,-0.1308,0.1971
minutes,would,T1,vix,-3,99,0.1082,0.2865,-0.0744,0.4645
minutes,would,T1,vix,-2,99,0.106,0.2964,0.0099,0.9228
minutes,would,T1,vix,-1,99,0.2169,0.031,0.1611,0.1111
minutes,would,T1,vix,0,99,0.1675,0.0975,0.0712,0.4839
minutes,would,T1,vix,1,99,0.1192,0.2401,0.0456,0.6539
minutes,would,T1,vix,2,99,0.0137,0.8927,0.0459,0.6521
minutes,would,T1,vix,3,99,-0.0396,0.6973,0.0498,0.6248
minutes,would,T1,vix,4,98,-0.0531,0.6039,-0.0451,0.6593
minutes,would,T1,vix,5,97,-0.1641,0.1082,-0.0547,0.5949
minutes,would,T1,vix,6,97,-0.1085,0.2901,-0.0189,0.8539
minutes,would,T1,vix,7,96,-0.0457,0.6583,-0.0135,0.8963
minutes,would,T1,vix,8,95,-0.0939,0.3656,-0.0033,0.9744
minutes,would,T1,vix,9,95,-0.0548,0.5978,0.0127,0.9024
minutes,would,T2,cfnai,-9,91,0.0003,0.9981,-0.0269,0.8002
minutes,would,T2,cfnai,-8,91,0.0366,0.7302,0.1186,0.2627
minutes,would,T2,cfnai,-7,91,0.0603,0.5703,0.1404,0.1845
minutes,would,T2,cfnai,-6,91,0.1688,0.1096,0.2671,0.0105
minutes,would,T2,cfnai,-5,91,0.1436,0.1744,0.1959,0.0628
minutes,would,T2,cfnai,-4,91,0.1491,0.1585,0.1524,0.1492
minutes,would,T2,cfnai,-3,91,0.2585,0.0133,0.2475,0.018
minutes,would,T2,cfnai,-2,91,0.2716,0.0092,0.3039,0.0034
